fusionsss,count,Pub supported,KB supported
TMPRSS2-ERG,192,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
CLTC-VMP1,75,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
FGFR3-TACC3,63,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
PML-RARA,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
RPS6KB1-VMP1,43,Pub,KB
CBFB-MYH11,32,Pub,KB
CCDC6-RET,24,Pub,KB
MAPKAPK5-ACAD10,21,Pub,KB
MAPKAPK5-ACAD10,21,Pub,KB
MAPKAPK5-ACAD10,21,Pub,KB
MAPKAPK5-ACAD10,21,Pub,KB
PTPRK-RSPO3,14,Pub,KB
PTPRK-RSPO3,14,Pub,KB
PTPRK-RSPO3,14,Pub,KB
ESR1-CCDC170,13,Pub,KB
SLC45A3-ERG,13,Pub,KB
ETV6-NTRK3,11,Pub,KB
BCR-ABL1,11,Pub,KB
ETV6-NTRK3,11,Pub,KB
MLLT10-PICALM,9,Pub,KB
KMT2A-ELL,9,Pub,KB
EML4-ALK,9,Pub,KB
TMPRSS2-ETV4,9,Pub,KB
CLDN18-ARHGAP26,9,Pub,KB
COMMD10-AP3S1,8,Pub,KB
RUNX1-RUNX1T1,8,Pub,KB
COMMD10-AP3S1,8,Pub,KB
SS18-SSX2,8,Pub,KB
PVT1-MYC,7,Pub,KB
PVT1-MYC,7,Pub,KB
DOCK4-IMMP2L,7,Pub,KB
SFPQ-TFE3,7,Pub,KB
SFPQ-TFE3,7,Pub,KB
DNAJB1-PRKACA,7,Pub,KB
VTI1A-TCF7L2,6,Pub,KB
NSD1-NUP98,6,Pub,KB
PICALM-MLLT10,6,Pub,KB
SS18-SSX1,6,Pub,KB
NUP98-NSD1,5,Pub,KB
TMPRSS2-ETV1,5,Pub,KB
PAX8-PPARG,5,Pub,KB
PRCC-TFE3,4,Pub,KB
RUNX1-MECOM,4,Pub,KB
WNK1-B4GALNT3,4,Pub,KB
NCOA4-RET,4,Pub,KB
KMT2A-MLLT3,3,Pub,KB
CD74-ROS1,3,Pub,KB
SLC34A2-ROS1,3,Pub,KB
TMPRSS2-ETV5,3,Pub,KB
NDRG1-ERG,3,Pub,KB
SND1-BRAF,3,Pub,KB
EZR-ROS1,2,Pub,KB
PTPRZ1-MET,4,Pub,
PTPRZ1-MET,4,Pub,
ABL1-NUP214,2,Pub,
RARA-PML,29,,KB
LRBA-SH3D19,10,,KB
SETD2-CCDC12,9,,KB
SLC45A3-ETV1,8,,KB
PLXND1-TMCC1,4,,KB
DCAF6-MPZL1,4,,KB
PDGFRA-FIP1L1,3,,KB
PTEN-LIPJ,3,,KB
ERC1-RET,3,,KB
PPARG-PAX8,3,,KB
INTS4-GAB2,2,,KB
TFE3-PRCC,2,,KB
NTRK3-ETV6,2,,KB
