Cancer,SPSB4-ACPL2,NTM-OPCML,RAD9A-PPP1CA,DPP6-ACTR3B,MLL3-TPTE,ACTN4-CAPN12,H19-COL1A1,OPCML-NTM,TTC6-MIPOL1,VCL-ADK,RASSF8-SSPN,ZC3H7A-BCAR4,KRBOX1-FAM198A,CCAT1-CASC8,NCOR2-SCARB1,MLL5-LHFPL3,TTLL5-IFT43,NCK1-IL20RB,EGFR-SEPT14,CCDC6-ANK3,ABR-YWHAE,PTPN12-RSBN1L,TMED3-KIAA1024,KIF26B-SMYD3,PDE4D-DEPDC1B,SH3PXD2A-OBFC1,ZCCHC8-RSRC2,RB1-ITM2B,ZBTB20-LSAMP,LITAF-BCAR4,CREBBP-TRAP1,ERBB2-PPP1R1B,TIMM17B-PQBP1,ASMTL-P2RY8,CPSF6-CHMP1A,BACE2-FAM3B,PTK2-TRAPPC9,CCBP2-KRBOX1,SMARCC1-MAP4,NSD1-ZNF346,PPP1CB-PLB1,NUP62-ATF5,WASF2-AHDC1,LTBP1-BIRC6,COL14A1-DEPTOR,CD44-PDHX,MPP5-GPHN,NF1-RAB11FIP4,KAT6B-ADK,TNRC18-RNF216,MYO6-SENP6,FLNB-SLMAP,TMEM87B-MERTK,ASCC1-MICU1,USP22-MYH10,ZFP91-RAB6A,ADAP1-SUN1,GATS-PILRB,PIAS2-ST8SIA5,CDK13-C7orf10,STRBP-DENND1A,RAD21-EIF3H,TPX2-HM13,ARRDC1-EHMT1,ERBB2-CTTN,AFF1-PTPN13,ITGB6-RBMS1,RERE-ENO1,HTATSF1-BRS3,BIRC6-TTC27,QKI-PACRG,MYH9-TXN2,DPEP1-TCF25,ZNF738-CHMP1A,NNMT-RBM7,NFIC-CELF5,MAP4-SPINK8,NCOA3-EYA2,ITM2B-RB1,FRYL-OCIAD2,ERG-TMPRSS2,PACSIN2-TTLL1,PRRC2B-NUP214,KDM2A-RHOD,BPTF-PITPNC1,C1orf198-AGT,THSD4-LRRC49,MRPL48-DTX4,ACACB-UNG,CTNNBIP1-CLSTN1,HRH1-ATG7,TFB2M-SMYD3,PROSC-CHMP1A,ABL1-BCR,TCF7L2-VTI1A,GNB1-NADK,PPP6R3-LRP5,TPX2-DEFB123,WASF2-FGR,MECOM-LRRC31,UBTF-MAML3,CAMKK2-KDM2B,JAZF1-TAX1BP1,TTYH3-MAD1L1,TMEM123-MMP20,DENND1A-PSMB7,PLEKHG1-MTHFD1L,EHBP1-COMMD1,SPSB1-H6PD,REV3L-FYN,PPAP2A-SLC38A9,ACOT9-APOO,FAM168A-RAB6A,SMARCA4-DNM2,FGFR2-ATE1,STAG1-MSL2,AFAP1-ABLIM2,BCAS3-VMP1,PCMTD1-ST18,UBE3C-DNAJB6,DSCR3-TTC3,ZNF253-LINC00466,PGAP3-ERBB2,MATR3-UBE2D2,PTK2-SLC45A4,PDLIM1-SORBS1,UPF3A-CDC16,MGRN1-C16orf96,KANK1-DOCK8,B4GALT1-BAG1,PVT1-CASC11,TPD52L1-RNF217,DCUN1D2-TMCO3,LAMA5-C20orf151,ARHGEF18-INSR,PPP3R1-C1D,WASF2-IFI6,FCHSD2-FAM168A,THRAP3-MAP7D1,LAPTM4B-MTDH,TANC1-PKP4,MECOM-LRRC34,REPS2-TXLNG,SPEN-PLEKHM2,C7orf50-MAD1L1,HCG18-TRIM26,PUM1-NKAIN1,NFAT5-SNTB2,ACAP2-XXYLT1,PLEKHF2-NDUFAF6,MAN1A2-TTF2,SCD5-TMEM150C,ARRB1-GDPD5,EPS15L1-CALR3,AKAP8L-BRD4,BUB1B-EIF2AK4,CDC42EP4-SDK2,ARL8B-ITPR1,GRB7-ERBB2,PILRB-PVRIG,AGBL4-FAF1,ST14-APLP2,ASAP2-CPSF3,MMP17-NOC4L
ACC,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA,0,0,0,0,2,0,3,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,2,2,3,5,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BRCA,3,1,1,0,1,0,2,2,3,1,2,1,0,0,1,1,0,1,0,2,1,1,8,0,1,1,2,0,0,2,2,2,0,1,1,1,1,1,2,2,2,0,1,1,0,2,1,2,2,2,2,2,2,4,9,9,0,1,1,1,1,1,0,1,0,0,1,2,2,2,3,1,0,1,0,0,0,0,1,1,0,0,2,2,3,4,6,7,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,2,2,2,2,2,2,3,3,3,4,5,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,2,2,2,2,2,3,3,3,1,1,0,1,0,0,1
CESC,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,5,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0
CHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
DLBC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCA,0,0,0,2,13,0,0,0,0,3,0,2,0,2,3,1,0,4,0,0,0,2,0,0,1,2,1,3,0,0,1,1,3,0,0,1,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,3,0,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
GBM,23,50,0,30,0,0,0,5,0,0,9,0,14,0,0,0,4,0,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
HNSC,0,0,0,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
