fusionsss,count,Pub supported,KB supported
SPSB4-ACPL2,52,,
SPSB4-ACPL2,52,,
NTM-OPCML,52,,
SPSB4-ACPL2,52,,
SPSB4-ACPL2,52,,
SPSB4-ACPL2,52,,
SPSB4-ACPL2,52,,
RAD9A-PPP1CA,45,,
RAD9A-PPP1CA,45,,
RAD9A-PPP1CA,45,,
RAD9A-PPP1CA,45,,
RAD9A-PPP1CA,45,,
DPP6-ACTR3B,40,,
DPP6-ACTR3B,40,,
DPP6-ACTR3B,40,,
MLL3-TPTE,31,,
MLL3-TPTE,31,,
MLL3-TPTE,31,,
MLL3-TPTE,31,,
MLL3-TPTE,31,,
ACTN4-CAPN12,29,,
ACTN4-CAPN12,29,,
H19-COL1A1,26,,
H19-COL1A1,26,,
H19-COL1A1,26,,
H19-COL1A1,26,,
H19-COL1A1,26,,
H19-COL1A1,26,,
OPCML-NTM,24,,
OPCML-NTM,24,,
OPCML-NTM,24,,
OPCML-NTM,24,,
TTC6-MIPOL1,21,,
TTC6-MIPOL1,21,,
TTC6-MIPOL1,21,,
VCL-ADK,20,,
VCL-ADK,20,,
VCL-ADK,20,,
VCL-ADK,20,,
VCL-ADK,20,,
VCL-ADK,20,,
RASSF8-SSPN,18,,
ZC3H7A-BCAR4,18,,
RASSF8-SSPN,18,,
ZC3H7A-BCAR4,18,,
ZC3H7A-BCAR4,18,,
RASSF8-SSPN,18,,
KRBOX1-FAM198A,18,,
ZC3H7A-BCAR4,18,,
RASSF8-SSPN,18,,
ZC3H7A-BCAR4,18,,
CCAT1-CASC8,17,,
MMP17-NOC4L,17,,
NCOR2-SCARB1,17,,
CCAT1-CASC8,17,,
NCOR2-SCARB1,17,,
NCOR2-SCARB1,17,,
CCAT1-CASC8,17,,
MMP17-NOC4L,17,,
NCOR2-SCARB1,17,,
NCOR2-SCARB1,17,,
MMP17-NOC4L,17,,
MLL5-LHFPL3,16,,
MLL5-LHFPL3,16,,
MLL5-LHFPL3,16,,
TTLL5-IFT43,15,,
TTLL5-IFT43,15,,
NCK1-IL20RB,15,,
TTLL5-IFT43,15,,
EGFR-SEPT14,15,,
NCK1-IL20RB,15,,
EGFR-SEPT14,15,,
TTLL5-IFT43,15,,
NCK1-IL20RB,15,,
CCDC6-ANK3,14,,
ABR-YWHAE,14,,
PTPN12-RSBN1L,14,,
ABR-YWHAE,14,,
ABR-YWHAE,14,,
PTPN12-RSBN1L,14,,
CCDC6-ANK3,14,,
PTPN12-RSBN1L,14,,
CCDC6-ANK3,14,,
TMED3-KIAA1024,13,,
KIF26B-SMYD3,13,,
PDE4D-DEPDC1B,13,,
KIF26B-SMYD3,13,,
PDE4D-DEPDC1B,13,,
PDE4D-DEPDC1B,13,,
KIF26B-SMYD3,13,,
TMED3-KIAA1024,13,,
SH3PXD2A-OBFC1,12,,
ZCCHC8-RSRC2,12,,
RB1-ITM2B,12,,
SH3PXD2A-OBFC1,12,,
RB1-ITM2B,12,,
RB1-ITM2B,12,,
SH3PXD2A-OBFC1,12,,
ZBTB20-LSAMP,12,,
ZBTB20-LSAMP,12,,
ZBTB20-LSAMP,12,,
RB1-ITM2B,12,,
ZCCHC8-RSRC2,12,,
LITAF-BCAR4,11,,
CREBBP-TRAP1,11,,
ERBB2-PPP1R1B,11,,
ERBB2-PPP1R1B,11,,
LITAF-BCAR4,11,,
TIMM17B-PQBP1,11,,
ASMTL-P2RY8,11,,
ASMTL-P2RY8,11,,
CREBBP-TRAP1,11,,
TIMM17B-PQBP1,11,,
CPSF6-CHMP1A,11,,
ASMTL-P2RY8,11,,
LITAF-BCAR4,11,,
BACE2-FAM3B,11,,
PTK2-TRAPPC9,11,,
CREBBP-TRAP1,11,,
TIMM17B-PQBP1,11,,
PTK2-TRAPPC9,11,,
CCBP2-KRBOX1,10,,
SMARCC1-MAP4,10,,
NSD1-ZNF346,10,,
PPP1CB-PLB1,10,,
CCBP2-KRBOX1,10,,
NUP62-ATF5,10,,
WASF2-AHDC1,10,,
LTBP1-BIRC6,10,,
LTBP1-BIRC6,10,,
WASF2-AHDC1,10,,
SMARCC1-MAP4,10,,
NSD1-ZNF346,10,,
NUP62-ATF5,10,,
COL14A1-DEPTOR,10,,
PPP1CB-PLB1,10,,
SMARCC1-MAP4,10,,
COL14A1-DEPTOR,10,,
CD44-PDHX,9,,
MPP5-GPHN,9,,
CD44-PDHX,9,,
NF1-RAB11FIP4,9,,
KAT6B-ADK,9,,
TNRC18-RNF216,9,,
MYO6-SENP6,9,,
FLNB-SLMAP,9,,
TMEM87B-MERTK,9,,
ASCC1-MICU1,9,,
USP22-MYH10,9,,
ZFP91-RAB6A,9,,
ADAP1-SUN1,9,,
GATS-PILRB,9,,
GATS-PILRB,9,,
PIAS2-ST8SIA5,9,,
CDK13-C7orf10,9,,
MYO6-SENP6,9,,
MPP5-GPHN,9,,
STRBP-DENND1A,9,,
CDK13-C7orf10,9,,
NF1-RAB11FIP4,9,,
TNRC18-RNF216,9,,
KAT6B-ADK,9,,
ASCC1-MICU1,9,,
KAT6B-ADK,9,,
RAD21-EIF3H,9,,
ADAP1-SUN1,9,,
MYO6-SENP6,9,,
TNRC18-RNF216,9,,
TPX2-HM13,8,,
ARRDC1-EHMT1,8,,
ERBB2-CTTN,8,,
AFF1-PTPN13,8,,
ITGB6-RBMS1,8,,
RERE-ENO1,8,,
HTATSF1-BRS3,8,,
BIRC6-TTC27,8,,
QKI-PACRG,8,,
MYH9-TXN2,8,,
DPEP1-TCF25,8,,
BIRC6-TTC27,8,,
ZNF738-CHMP1A,8,,
NNMT-RBM7,8,,
NNMT-RBM7,8,,
NFIC-CELF5,8,,
NFIC-CELF5,8,,
MAP4-SPINK8,8,,
ERBB2-CTTN,8,,
NCOA3-EYA2,8,,
NFIC-CELF5,8,,
NNMT-RBM7,8,,
ITM2B-RB1,8,,
RERE-ENO1,8,,
FRYL-OCIAD2,8,,
ERG-TMPRSS2,8,,
DPEP1-TCF25,8,,
ARRDC1-EHMT1,8,,
MAP4-SPINK8,8,,
TPX2-HM13,8,,
NCOA3-EYA2,8,,
PACSIN2-TTLL1,7,,
PRRC2B-NUP214,7,,
KDM2A-RHOD,7,,
BPTF-PITPNC1,7,,
C1orf198-AGT,7,,
THSD4-LRRC49,7,,
MRPL48-DTX4,7,,
ACACB-UNG,7,,
CTNNBIP1-CLSTN1,7,,
HRH1-ATG7,7,,
TFB2M-SMYD3,7,,
